job_id,job_title,company_name,location,salary_min,salary_max,job_description,posted_date
1001,EDI Analyst,UnitedHealth Group,New York NY,85000,110000,Seeking EDI Analyst to manage X12 837 and 835 transactions. Experience with EDI standards required. Skills: X12 EDI SQL Azure Python,2026-07-10
1002,BI Analyst,Microsoft,Seattle WA,120000,160000,Build analytics solutions using Power BI and Fabric. Work with SQL and Python for data transformation. Skills: Power BI SQL Python Tableau,2026-07-10
1003,Healthcare Data Engineer,Optum,Minneapolis MN,100000,130000,Design and implement healthcare data pipelines. EDI integration required. Skills: Python Spark SQL EDI X12,2026-07-10
1004,Claims Processing Specialist,Anthem,Indianapolis IN,75000,95000,Process insurance claims using EDI systems. Knowledge of 835 and 837 formats. Skills: X12 EDI Claims Processing,2026-07-10
1005,Senior Analytics Engineer,Google Cloud,San Francisco CA,140000,180000,Lead analytics platform development. SQL Spark and Python expertise required. Skills: SQL Python Spark BigQuery,2026-07-09
1006,Data Warehouse Architect,Amazon,Seattle WA,135000,175000,Design enterprise data warehouse using Redshift. Schema design and optimization. Skills: SQL Python AWS Redshift,2026-07-09
1007,Integration Engineer,IBM Sterling,Chicago IL,95000,125000,Implement EDI and B2B integration solutions. Sterling File Gateway experience. Skills: EDI Integration B2B Sterling,2026-07-09
1008,Business Intelligence Developer,Humana,Louisville KY,90000,115000,Develop BI solutions using Tableau and Power BI. SQL expertise required. Skills: Tableau Power BI SQL,2026-07-08
1009,Data Analyst,McKinsey,New York NY,110000,140000,Analyze healthcare market data and trends. Build dashboards and reports. Skills: SQL Python Tableau Excel,2026-07-08
1010,Healthcare Claims Analyst,CareSource,Columbus OH,70000,90000,Analyze and audit insurance claims. Knowledge of claims processing systems. Skills: Claims Processing SQL Excel,2026-07-08
1011,Data Engineer,Databricks,San Francisco CA,130000,170000,Build data pipelines using Spark and Python. Real-time data processing. Skills: Spark Python SQL Cloud,2026-07-07
1012,EDI Specialist,Availity,Jacksonville FL,80000,105000,Manage healthcare EDI transactions and integrations. X12 and HL7 experience. Skills: X12 EDI HL7 Integration,2026-07-07
